,utility,eiaid,name,label,enddate,demandrateunit,flatdemandunit,uri,sector,description,source,peakkwcapacitymax,peakkwcapacitymin,peakkwhuseagemax,peakkwhuseagemin,voltagecategory,phasewiring
5339,"Farmers Electric Coop, Inc",6112,Multi Phase 0-250 Kva,539f756cec4f024411ed13a3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f756cec4f024411ed13a3,Commercial,,ISU Documentation,250,,,,,3-Phase
5342,"City of Vineland, New Jersey (Utility Company)",19856,Commercial With Demand Meter (Farm),539f756cec4f024411ed13b7,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fba9dec4f024bc1dc3025,Commercial,"* Adjustment = Fuel Rate (Effective October 1, 2013--May 31, 2014)",http://www.vinelandcity.org/electric/vmeusite/index_files/Page1635.htm,,,,,,
5343,Midwest Electric Member Corp,12539,Single-Phase Commercial - Monthly,539f756cec4f024411ed13bd,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f756cec4f024411ed13bd,Commercial,"01 - Rural Residential
40 - Single-Phase Commercial
60 - Schools & Churches
Note: Interest rate of 1.5% per month will be applied to any previous balance less previous interest charges until paid.",http://www.midwestecc.com/rates/rate1.cfm,,,,,,
5346,Dalton Utilities,4744,Commercial Demand,539f756cec4f024411ed13cd,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f756cec4f024411ed13cd,Commercial,"Available throughout the service area from existing lines of adequate capacity as determined by the Board. Applicable for all commercial uses by Industrial and Commercial Customers in a separately metered unit as determined by the Board.
MONTHLY MINIMUM: BASE Charge per month per unit served $17.45
Plus $10.76 per kW of Billing Demand in excess of 15kW
Plus Excess kVar charges, fuel adjustment charges applicable of kWh, surcharges, franchise cost,
sales taxes and penalties when applicable",Rate Binder Kelly 2 ISU Documentation,,,,,,
5347,"City of Cleveland, Ohio (Utility Company)",3762,Large Commercial,539f756dec4f024411ed13d5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f756dec4f024411ed13d5,Commercial,,http://www.cpp.org/rs.html,10000,30,,,,
5349,"City of Warren, Minnesota (Utility Company)",20110,Commercial dual heat - regular ripple,539f756dec4f024411ed13e3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f756dec4f024411ed13e3,Commercial,,http://www.warrenminnesota.com/vertical/sites/%7BE90113E1-BD14-442E-9522-C05229EDE30C%7D/uploads/Rate_Schedule_2013.pdf,,,,,,
5351,"City of Marlow, Oklahoma (Utility Company)",11691,Heavy Commercial,539f756dec4f024411ed13eb,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f756dec4f024411ed13eb,Commercial,,ISU Documentation,,,,,,
5352,"Town of Rowley, Massachusetts (Utility Company)",16377,Schedule B - Small General Service (Farm),539f756dec4f024411ed13f7,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f756dec4f024411ed13f7,Commercial,"Available to customers whose monthly demand does not exceed 10 kW.

A discount is given to customers engaged in the business of agriculture or farming.",ISU Documentation (DOE Sharepoint),,,,,,
5354,Atlantic Municipal Utilities,965,Rural Commercial All- Electric,55c38ac45457a3b034e28f88,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55c38ac45457a3b034e28f88,Commercial,,http://a-m-u.net/commercial-electric-rates/,,,,,,
5356,"City of Celina, Ohio (Utility Company)",3216,Commercial Light and Power (Rural Demand),539f756dec4f024411ed140f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f756dec4f024411ed140f,Commercial,"Available to any non-residential Customers, urban and rural, whose use of electric by single phase or three phase service does not exceed a demand of 50 kW's. Includes use of electric for commercial residential services such as trailer courts or apartments where not metered individually.",http://www.ci.celina.oh.us/docs/util/electric%20rates.pdf,,,,,,
5359,Trico Electric Cooperative Inc,19189,General Service-GS 3 Three-Phase,539f756eec4f024411ed1429,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f756eec4f024411ed1429,Commercial,"*Applicable for service less than 12,000kw.

*Subject to tax and power cost adjustment.",http://www.trico.coop/images/TRICO_GS3.pdf,19999,10,,,Secondary,3-Phase
5364,"City of Cambridge, Nebraska (Utility Company)",2888,Commercial- Demand,539f757cec4f024411ed143f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f757cec4f024411ed143f,Commercial,"This rate is available to those three-phase commercial customers whose monthly kWh usage exceeds 50,000 kWh or whose monthly kW demand reading exceeds 150 kW for a period of four or more consecutive months.",ISU Documentation,,,,,,
5365,"Village of Elmore, Ohio (Utility Company)",5833,One Phase Large (Over 30 KW month),539f757cec4f024411ed1441,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f757cec4f024411ed1441,Commercial,,Rate Binder #5B (Illinois State University),,,,,,
5367,Sussex Rural Electric Coop Inc,40299,General Service ETS,539f757cec4f024411ed1453,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f757cec4f024411ed1453,Commercial,"Available to Members for year round and seasonal use for electric thermal storage (ETS) heating service, and have agreed to allow the Cooperative to control the ETS unit(s) or service during peak periods through their load management systems subject to established rules and regulations of the Seller. Member must have an active regular single phase service at the same location to be eligible for this additional service under the terms of this rate.



In general, there are two control seasons, from September 15 to May 15 the control periods will occur during the morning hours of 7:00 a.m. to 11:00 a.m. and the afternoon hours of 5:00 p.m. to 10:00 p.m. From May 16 to September 14 the control period would be 12:00 p.m. to 7:00 p.m.","http://www.sussexrec.com/pdfs/Tariff%20May%202013.pdf
http://www.sussexrec.com/rates-fees.asp",,,,,,
5369,Stillwater Utilities Authority,18125,Ground Source Heat Pump Rate - Commercial Customers (GSHP),562129555457a35f4ea988fe,,kW,,http://en.openei.org/apps/USURDB/rate/view/562129555457a35f4ea988fe,Commercial,The application of this rate schedule is limited to commercial (business) consumers which use a ground source type heat pump for all heating and cooling needs within the business establishment.,http://stillwater.org/document_center/SUA_Electric_Rates/GSHP_R17_1_1_15.pdf,,,,,Secondary,
5372,"City of Hingham, Massachusetts (Utility Company)",8796,SCHEDULE G-1 SMALL GENERAL SERVICE,539f757dec4f024411ed1485,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f757dec4f024411ed1485,Commercial,"Additional Info: 
*AVAILABILITY: A customer will be served under this rate if the customer's average monthly usage does not exceed 10,000 kWh. A customer may be transferred from this rate if the customer's average monthly usage for 3 consecutive months is greater than 10,000 kWh/month, or greater than 500 kW of demand.

*MINIMUM CHARGE: The minimum bill is $10.25 per month.

*POWER COST ADJUSTMENT: The rate(s) will be adjusted in accordance with the HMLP's Power Cost Adjustment. The adjustment rate shall be calculated to the nearest thousandth of a cent ($.00001) in the following manner:
    A - Total Purchased Power cost including NEPOOL interchange  
        charge to Accounts 555, 556,557 and 565 (*) for the 
        period plus the NYPA savings calculated pursuant 
        to Schedule NYPA, all  divided by: 
    B - Estimated kWhs to be sold during the period will be 
        compared to:
    C - Base period cost of purchased power per kWh sold.
The difference between the base cost and the annual cost per kWh estimated to be sold will be applied in the billing period. The Power Cost Adjustment will be calculated as follows                    
                 PCA = A/B - C
This calculation will normally be made on a quarterly basis and a single Power Cost Adjustment billed for the entire quarter, although HMLP may change the Power Cost Adjustment more frequently if such changes are required.",http://www.hmlp.com/RatesBilling/Documents/G-1.pdf,,,,,,
5376,"City of Milton, Washington (Utility Company)",12616,Commercial,539f757dec4f024411ed14a5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f757dec4f024411ed14a5,Commercial,,ISU Documentation,,,,,,
5377,Ozark Border Electric Coop,14285,Commercial/Small Power Single-Phase,539f757dec4f024411ed14ad,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f757dec4f024411ed14ad,Commercial,"*Available to all commercial, small power, schools and churches requiring not more than five hundred (500) kVA of transformer capacity. Single phase motors served under this schedule shall not exceed fifteen (15) horsepower soft start motors.",http://www.ozarkborder.org/rates_sch2_62.html,,,,,,Single Phase
5378,"Village of Paw Paw, Michigan (Utility Company)",14581,"Large Power ""Rate LP""",539f757dec4f024411ed14b1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f757dec4f024411ed14b1,Commercial,This rate applies to large industrial and commercial customers.,Rate Binder 3,,,,,,
5380,"Village of Mazomanie, Wisconsin (Utility Company)",11895,Gs-1 General Service Single Phase,55b25dca5457a3db50912354,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55b25dca5457a3db50912354,Commercial,Fixed Monthly Charge includes Commitment to Community Rider:$1.33 per customer per month,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=3470,45,,,,,Single Phase
5382,West River Electric Assn Inc,20401,Small Commercial Three Phase,539f757eec4f024411ed14d3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f757eec4f024411ed14d3,Commercial,Three Phase < 50 kVA,http://www.westriver.com/files/pdf/91928_Rate_Chart_201.pdf,,,,,,
5383,"City of Weiser, Idaho (Utility Company)",20297,Small General,539f757eec4f024411ed14df,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f757eec4f024411ed14df,Commercial,Small General,ISU documentation,,,,,,
5387,"City of Altamont, Kansas (Utility Company)",408,Commercial Service (3-phase),539f757eec4f024411ed14ef,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f757eec4f024411ed14ef,Commercial,,ISU Archive,,,,,,
5391,"City of Tuscumbia, Alabama (Utility Company)",19307,General Power ( 50 kw or more),539f758dec4f024411ed14ff,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f758dec4f024411ed14ff,Commercial,,Rate Binder#4 (Illinois State University),,,,,,
5392,"City of Glendale, California (Utility Company)",7294,Large Business PC-1-D Customer-Owned-Generation-Time-of-Use,539f758dec4f024411ed1505,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f758dec4f024411ed1505,Commercial,,http://www.glendalewaterandpower.com/rates/electric_business_large.aspx,,150,,,,
5395,"Village of Ladd, Illinois (Utility Company)",40367,General Service Rate,539f758dec4f024411ed1511,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f758dec4f024411ed1511,Commercial,"Note:
In addition o the monthly charges, energy and demand charges and taxes applicable to each electrical customer pursuant to this Ordinance, all electrical energy customers shall be charged each month an Energy Acquisition Adjustment (EAA) per kilowatt hour billed. This adjustment shall be computed and added to all energy billed and shall be equal to the difference between 59.94 mills and the average per kWh cost of purchased power from the Village's supplier over the preceding three months.","Rates Binder 1, Illinois State University",,,,,,
5396,Cedarburg Light & Water Comm,3208,General Service Optional Time-of-Day Rate - Three Phase,539f758dec4f024411ed1519,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f758dec4f024411ed1519,Commercial,Rates are subject to Power Cost Adjustment,http://www.cedarburglightandwater.com/customer_services/default.asp?CategoryNumber=3&SubcategoryNumber=1,,,,,,3-Phase
5401,"City of Mangum, Oklahoma (Utility Company)",11566,Commercial-Three phase,539f758eec4f024411ed153b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f758eec4f024411ed153b,Commercial,*Minimum monthly charge: $17.00.,http://www.cityofmangum.com/Utilities.html,,,,,,
5403,"Deaf Smith Electric Coop, Inc",4939,Large Power- Rate 07,539f758eec4f024411ed1549,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f758eec4f024411ed1549,Commercial,,"Rate Binder 5, Illinois State University",,,,,,
5406,Co-Mo Electric Coop Inc,4063,Commercial Single-Phase Up To 200 Amps,539f758eec4f024411ed1559,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7390ec4f024411ecfe0d,Commercial,"*Non-residential buildings drawing up to 200 Amps
*100 kVa and under",http://www.co-mo.coop/busOurRates.aspx,,,,,,Single Phase
5407,"City of Mangum, Oklahoma (Utility Company)",11566,Large Commercial,539f758eec4f024411ed155d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f758eec4f024411ed155d,Commercial,*Minimum monthly charge: $50.00.,http://www.cityofmangum.com/Utilities.html,,,,,,
5408,"City of Glendale, California (Utility Company)",7294,Small Business L-2-B Time-of-Use Service Rate,539f758eec4f024411ed1561,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f758eec4f024411ed1561,Commercial,,http://www.glendalewaterandpower.com/rates/electric_business_small.aspx,,,,,,
5410,"City of Monroe, North Carolina (Utility Company)",12801,Small Commercial Service,539f758eec4f024411ed1567,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f758eec4f024411ed1567,Commercial,,http://www.monroenc.org/uploads/FeesSchedule.pdf#Electric,30,,,,,Single and 3-Phase
5412,"City of Monroe, Georgia (Utility Company)",12800,COMMERCIAL NON DEMAND RATE,539f758eec4f024411ed156d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f758eec4f024411ed156d,Commercial,"Applicable to non-residential service where average monthly energy consumption is less than 3,000 kilowatthours, based on the most recent 12 months' data in January each year. 

*MINIMUM MONTHLY BILL: $16.00 plus Applicable Sales Tax
*Plus Applicable Power Cost Adjustment and Applicable Sales Tax",http://monroega.us/DOCS/ELECTRICRATES.pdf,,,,,,
5418,"City of San Marcos, Texas (Utility Company)",28978,Medium General Service,539f758fec4f024411ed158d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc202ec4f024c27d8acbf,Commercial,Power cost recovery factor not included.,http://sanmarcostx.gov/index.aspx?page=141,,,,,,
5419,"Indian Electric Coop, Inc",9246,General Service Single-Phase,539f758fec4f024411ed158f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f758fec4f024411ed158f,Commercial,General Service applicable to commercial and non-residential services having a maximum demand not in excess of 50 kW.,http://www.iecok.com/pdf/Indian-Electric-Cooperative-Rates.pdf,,,,,,
5422,Riverland Energy Cooperative,16060,Time of Use,539f758fec4f024411ed1599,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb785ec4f024bc1dc0d15,Commercial,"Available on an optional basis to single phase consumers which require a transformer equal to or less than 75 kVA. Service must comply with ""Time of Use Agreement.""If a member chooses to leave this rate for any reason, there will be a 12 monthwaiting period before they will be allowed to return to this rate.
Facility Charge:   $1.12 per day
Fixed monthly charge=facility charge*30",http://riverlandenergy.coopwebbuilder.com/sites/riverlandenergy.coopwebbuilder.com/files/rate_sheet_-_web.pdf,,,,,,Single Phase
5423,"Town of Concord, Massachusetts (Utility Company)",4147,RATE G-2 SINGLE PHASE (MEDIUM GENERAL SERVICE),539f758fec4f024411ed159f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f758fec4f024411ed159f,Commercial,"This rate schedule is applicable to all electric service required by the Customer for lighting, power and any other purpose, other than residential service, where the Customer's maximum metered demand is equal to or greater than 20 kW for any two months during any twelve month period.


The monthly Billing Demand shall be the greater of:
a) the highest metered kilowatt demand established during any 15 minute interval during the month;
b) 95% of the greatest metered or calculated kVA during the month; or
c) 20 kW.","http://www.concordma.gov/pages/concordma_lightplant/new%20rate%20files/C01%20Rate%20G-2,%201-1-13.pdf",,20,,,,Single Phase
5425,"Village of Genoa, Ohio (Utility Company)",7100,Small Commercial Demand Service (Three Phase),539f758fec4f024411ed15bd,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f758fec4f024411ed15bd,Commercial,,Rate Binder #5B (Illinois State University),,,,,,3-Phase
5426,"City of Mishawaka, Indiana (Utility Company)",12674,Commerical,539f758fec4f024411ed15c1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f758fec4f024411ed15c1,Commercial,"TO WHOM AVAILABLE

Available to non-residential and commercial customers.

CHARACTER OF SERVICE

Alternating current, sixty-cycle, single phase service supplied through a single set of service wires to a single meter location at a standard service voltage.",http://mishawaka.in.gov/node/438,,,,,,
5430,Corbin City Utilities Comm,4341,SGS-1 Small General Service,539f759dec4f024411ed15e5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f759dec4f024411ed15e5,Commercial,"120/240 Single-Phase, 120/208 3-Phase, 120/240 3-Phase

Rates are subject to Power Cost Adjustments.",http://www.corbinutilities.com/index.php?option=com_docman&task=doc_download&gid=3&Itemid=63,,,,,,
5431,Florence Utility Comm,6424,Gs-1 General Service Single Phase,539f759dec4f024411ed15ef,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f759dec4f024411ed15ef,Commercial,,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=2000,50,,,,,Single Phase
5432,"City of Oberlin, Ohio (Utility Company)",13949,Small Commercial Service,539f759eec4f024411ed15f9,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f759eec4f024411ed15f9,Commercial,"Applicable for commercial service which does not qualify for large commercial service, single and three phase service will be billed and metered separately.

Subject to a Generation Charge and Transition Cost Rider",ISU Documentation Rate Binder Ted #9,,,,,,
5433,"City of Winterville, North Carolina (Utility Company)",20836,Medium General Service - MGS,539f759eec4f024411ed1601,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f759eec4f024411ed1601,Commercial,* This schedule is applicable to the separately metered electric service to any customer with a monthly demand from 30 kW to 100 kW as measured by a 15-minute interval demand meter.,http://www.wintervillenc.com/docs/finance/UtilityRatesFeeSchedule.pdf,,,,,,
5448,"Village of Churchville, New York (Utility Company)",3525,Commercial wDemand  3,539f759fec4f024411ed1671,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f759fec4f024411ed1671,Commercial,,http://www.churchville.net/departments/electric/rates,,,,,,
5449,"City of Huntsville, Alabama (Utility Company)",9094,Schedule GSA - Commercial & Industrial - 3,56746c8f5457a3363d7bbfb4,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/56746c8f5457a3363d7bbfb4,Commercial,"If the higher of the customer's currently effective contract demand or its highest billing demand during the latest 12 month period is greater than 1,000 kW and less than 5,000 kW.",http://www.hsvutil.org/rates/commercial-industrial-rates/,5000,1000,,,,
5451,KCP&L Greater Missouri Operations,12698,General Service - Limited Demand (L&P),578fed2f5457a30033f1f986,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/578fed2f5457a30033f1f986,Commercial,"Available for lighting, power or combined lighting and power service to any customer whose actual demand is no greater than forty (40) kilowatts (kW).",https://www.kcpl.com/~/media/Files/My%20Bill/MO%20Detailed%20Tariffs/GMO_Electric_Rates_Tariffs(042516).pdf,40,,,,,
5452,"City of Lakota, North Dakota (Utility Company)",10629,Commercial service rate - Three Phase,539f759fec4f024411ed167f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f759fec4f024411ed167f,Commercial,,http://www.lakota-nd.com/index.asp?Type=B_BASIC&SEC={15576391-A382-497F-AC8B-A2A836E4D4E2}&DE={3049C189-EF9B-41A8-BF43-212461032B93},,,,,,
5453,"Town of Braintree, Massachusetts (Utility Company)",2144,LARGE COMMERCIAL HEATING AND COOLING SERVICE,539f759fec4f024411ed1681,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f759fec4f024411ed1681,Commercial,"Additional Info:
*Applicable to: Any commercial customer for all uses where the customer has a demand of 75kW or more and where the customer has installed and derives energy requirements for heating, cooling and controlled hot water heating from electricity, and where the entire service is delivered through one meter. Electricity cannot be resold.

*Rates:
  Energy Charge: $0.08000/kWh
  Transmission Charge: $0.00550/kWh
  Distribution Charge: $0.03000/kWh
*Plus Power Cost Adjustment (PCA) beginning April, 2012: $0.015 per kWh 

*Billing demand: The billing demand for the month shall be the highest of:     
**75 kW
**Maximum measured 15 minutes kW demand of the month
**80% of the highest demand established during the preceding eleven (11) months",http://www.beld.com/Pricing/ElectricPricing.asp?ElectricPricingID=8&PricingType=Business,,,,,,
5463,"Borough of Chambersburg, Pennsylvania (Utility Company)",3329,Secondary Power Rate- Not Demand,539f75b1ec4f024411ed16b7,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f75b1ec4f024411ed16b7,Commercial,For any customer that does not qualify for another rate.,http://www.chambersburgpa.gov/pdf/Electric_Standards.pdf,,,,,,
5466,Brainerd Public Utilities,2138,General Service Rate,539f75b1ec4f024411ed16c5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc8f5ec4f024d2f53ec20,Commercial,,http://www.bpu.org/PDF%20FILES/Rate%20information%20and%20increases/ELECTRIC%20SERVICE%20RATES-02-01-2014.pdf,2499,,,,Secondary,Single and 3-Phase
5470,Franklin Rural Electric Cooperative,6722,Single Phase Service,539f75b1ec4f024411ed16db,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f75b1ec4f024411ed16db,Commercial,,"https://cas.sharepoint.illinoisstate.edu/grants/Sunshot/Lists/DATA%20ENTRY%20Needs%20V2/Attachments/199/Franklin%20Rural%20Electric%20Coop,%20IA.pdf",,,,,,
5471,"City of Seaford, Delaware (Utility Company)",16852,COMMERCIAL WITH DEMAND METERING,539f75b1ec4f024411ed16dd,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f75b1ec4f024411ed16dd,Commercial,"COMMERCIAL WITH DEMAND METERING (over 3500 kwh five or more times in 12 months, less than 50 KW)",ISU documentation,50,,,,,
5472,"City of Union City, Tennessee (Utility Company)",19430,Commercial- GSA-1,539f75b1ec4f024411ed16e3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f75b1ec4f024411ed16e3,Commercial,(0-50 kW),*ISU Documentation,50,,,,,
5475,"Town of Estes Park, Colorado (Utility Company)",5997,LARGE COMMERCIAL,539f75b2ec4f024411ed16ef,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc436ec4f024c27d8c4d9,Commercial,"LARGE COMMERCIAL

Available to all commercial customers with demands exceeding 35 kW",http://www.colorado.gov/cs/Satellite?blobcol=urldata&blobheadername1=Content-Disposition&blobheadername2=Content-Type&blobheadervalue1=inline%3B+filename%3D%22Electric+Rate+Summary.pdf%22&blobheadervalue2=application%2Fpdf&blobkey=id&blobtable=MungoBlobs&blobwhere=1251813665377&ssbinary=true,,35,,,,
5477,"City of Ottawa, Kansas (Utility Company)",14229,GS-L General Service Large,539f75b2ec4f024411ed1703,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f75b2ec4f024411ed1703,Commercial,Available at any location on electric system,ISU-Ted binder #2,,,,,,
5479,"Alaska Village Elec Coop, Inc",221,Small Commercial: Old Harbor Village,539f75b2ec4f024411ed1713,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f75b2ec4f024411ed1713,Commercial,"For 1-700 kWh consumed: Rate = ( .30 + Cost of Fuel)
Over 700 kWh consumed: Rate = (.20 + Cost of Fuel)",http://www.avec.org/customer-service.php#rates,,,,,,
5481,"City of Laurinburg, North Carolina (Utility Company)",10770,SMALL COMMERCIAL - Schedule AC,539f75b2ec4f024411ed1719,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f75b2ec4f024411ed1719,Commercial,"SMALL COMMERCIAL - 0 to 20 KWD
(All electric)",http://www.laurinburg.org/Data/Sites/1/media/government/electricalRates2009.pdf,,,,,,
5482,Bangor Hydro-Electric Co,1179,General Service Rate,566b55b85457a33a43b1cdd4,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/566b55b85457a33a43b1cdd4,Commercial,Service under this rate is available for all commercial purposes to customers with billing demands of less than 25 kW.  Customers taking service under this rate schedule are responsible for paying both Distribution Service and Stranded Cost.,http://www.emeramaine.com/media/34073/emera-maine-bhd-tariffs.pdf,25,,,,,
5484,"City of Shelby, Iowa (Utility Company)",17046,Large Commercial,539f75b2ec4f024411ed1735,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f75b2ec4f024411ed1735,Commercial,,http://www.shelbyia.com/uploads/2012_Shelby_Code.pdf,,25,,,,
5486,Westfield Electric Co,40036,General Service #E31/32/33/34,556f4feb5457a30f19db22a9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/556f4feb5457a30f19db22a9,Commercial,This rate does not include any charges associated with generation.,http://www.wgeld.org/126/Commercial-Rates,,,,,,
5487,"City of Plymouth, Wisconsin (Utility Company)",15159,Gs-1 General Service Single Phase,55b7d4c05457a3ca72995e8d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55b7d4c05457a3ca72995e8d,Commercial,Commitment to Community Rider:  Gs-1 General Service $0.00056 per kWh(Flat Rate Adjustments),http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=4740,75,,,,,Single Phase
5491,"City of Charlevoix, Michigan (Utility Company)",3384,Commercial - Demand (Rate 152),539f75c2ec4f024411ed1757,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb4f3ec4f024bc1dbef23,Commercial,*Power Cost Adjustment rate changes 2 times per year: April and October,http://www.cityofcharlevoix.org/city-departments/documents/BUD582_rates2012.pdf,,,,,,
5494,Kirbyville Light & Power Co,10359,Commercial Electric Rate,539f75c3ec4f024411ed176b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f75c3ec4f024411ed176b,Commercial,,ISU Documentation,,,,,,
5495,"P K M Electric Coop, Inc",14178,Single Phase - 50 kva,539f75c3ec4f024411ed1773,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f75c3ec4f024411ed1773,Commercial,"Rate Code 1-Single Phase
50 kVA",http://www.pkmcoop.com/b-rates.html,,,,,,Single Phase
5498,"City of Holton, Kansas (Utility Company)",8770,Small Business Rate - Inside City Limits,539f75c3ec4f024411ed1785,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f75c3ec4f024411ed1785,Commercial,,Ted Binder 2,,,,,,
5499,Appalachian Power Co (West Virginia),733,Schedule SGS: Small General Service,577beace5457a3f6543068f0,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/577beace5457a3f6543068f0,Commercial,,https://www.appalachianpower.com/global/utilities/lib/docs/ratesandtariffs/WestVirginia/Securitization_True-up_Tariff_Sheets_Effective_4-1-16.pdf,10,,,,,
5502,A & N Electric Coop (Virginia),84,Commercial and Industrial Service - Schedule B (Single Phase),539f75c3ec4f024411ed17a1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f75c3ec4f024411ed17a1,Commercial,"Available to business, commercial, and industrial uses other than irrigation pumping loads not exceeding 50 kw demand.",http://www.anec.com/yourbill/rate_pdfs/schedule_B_commercial_and_industrial_service.pdf,,,,,Secondary,Single Phase
5504,"Cotton Electric Coop, Inc",4401,Commercial Service High Density-Three Phase,539f75c3ec4f024411ed17ab,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f75c3ec4f024411ed17ab,Commercial,"Available for commercial customers up to 50 kVA of transformer capacity. Further capacity available at the discretion of the Cooperative, up to 150 kVA. 

* Subject to power cost adjustment and tax adjustment",ISU Documentation,,,,,,3-Phase
5505,"City of Rensselaer, Indiana (Utility Company)",15860,Commercial Service: Two Phase,539f75c3ec4f024411ed17ad,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f75c3ec4f024411ed17ad,Commercial,"Subject to a Rate Adjustment:
""The Rate Adjustment shall be on the basis of an Energy Cost Factor, occasioned solely by changes in the cost of purchased power.""","Rates Binder 1, Illinois State University",,,,,,
5506,"City of Ashland, Kansas (Utility Company)",911,Commercial Electric (Rural),539f75c3ec4f024411ed17af,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f75c3ec4f024411ed17af,Commercial,,Ted Binder 2,,,,,,
5508,"City of Augusta, Arkansas (Utility Company)",1000,Large Commercial Service (50kVa and above),539f75c3ec4f024411ed17bf,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f75c3ec4f024411ed17bf,Commercial,,ISU Documentation,,,,,,
5509,Upson Elec Member Corp,19581,"Rate 3,7 - General Service",539f75c4ec4f024411ed17c9,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f75c4ec4f024411ed17c9,Commercial,,facts.psc.state.ga.us/Public/GetDocument.aspx?ID=128323,,,,,,
